"","committee_acronym","parliament_number","session_number","date_change","position","first_name","last_name","full_name"
"1.1","AFGH","39","2","2008-04-10","Member","Claude","Bachand","Claude Bachand"
"1.2","AFGH","39","2","2008-04-10","Member","Vivian","Barbot","Vivian Barbot"
"1.3","AFGH","39","2","2008-04-10","Member","Dawn","Black","Dawn Black"
"1.4","AFGH","39","2","2008-04-10","Member","Sylvie","Boucher","Sylvie Boucher"
"1.5","AFGH","39","2","2008-04-10","Member","Ujjal","Dosanjh","Ujjal Dosanjh"
"1.6","AFGH","39","2","2008-04-10","Member","Laurie","Hawn","Laurie Hawn"
"1.7","AFGH","39","2","2008-04-10","Member","Gerald","Keddy","Gerald Keddy"
"1.8","AFGH","39","2","2008-04-10","Member","Pierre","Lemieux","Pierre Lemieux"
"1.9","AFGH","39","2","2008-04-10","Member","Dave","MacKenzie","Dave MacKenzie"
"1.10","AFGH","39","2","2008-04-10","Member","Deepak","Obhrai","Deepak Obhrai"
"1.11","AFGH","39","2","2008-04-10","Member","Bernard","Patry","Bernard Patry"
"1.12","AFGH","39","2","2008-04-10","Member","Bob","Rae","Bob Rae"
"1.13","AFGH","39","2","2008-04-10","Member","Bryon","Wilfert","Bryon Wilfert"
"2.1","AFGH","39","2","2008-04-15","Chair","Pierre","Lemieux","Pierre Lemieux"
"2.2","AFGH","39","2","2008-04-15","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"2.3","AFGH","39","2","2008-04-15","Co-chair","Vivian","Barbot","Vivian Barbot"
"2.4","AFGH","39","2","2008-04-15","Co-chair","Dawn","Black","Dawn Black"
"2.5","AFGH","39","2","2008-04-15","Member","Claude","Bachand","Claude Bachand"
"2.6","AFGH","39","2","2008-04-15","Member","Sylvie","Boucher","Sylvie Boucher"
"2.7","AFGH","39","2","2008-04-15","Member","Ujjal","Dosanjh","Ujjal Dosanjh"
"2.8","AFGH","39","2","2008-04-15","Member","Laurie","Hawn","Laurie Hawn"
"2.9","AFGH","39","2","2008-04-15","Member","Gerald","Keddy","Gerald Keddy"
"2.10","AFGH","39","2","2008-04-15","Member","Dave","MacKenzie","Dave MacKenzie"
"2.11","AFGH","39","2","2008-04-15","Member","Deepak","Obhrai","Deepak Obhrai"
"2.12","AFGH","39","2","2008-04-15","Member","Bernard","Patry","Bernard Patry"
"2.13","AFGH","39","2","2008-04-15","Member","Bob","Rae","Bob Rae"
"3.1","AFGH","39","2","2008-09-07","Chair","Pierre","Lemieux","Pierre Lemieux"
"3.2","AFGH","39","2","2008-09-07","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"3.3","AFGH","39","2","2008-09-07","Co-chair","Vivian","Barbot","Vivian Barbot"
"3.4","AFGH","39","2","2008-09-07","Co-chair","Dawn","Black","Dawn Black"
"3.5","AFGH","39","2","2008-09-07","Member","Claude","Bachand","Claude Bachand"
"3.6","AFGH","39","2","2008-09-07","Member","Sylvie","Boucher","Sylvie Boucher"
"3.7","AFGH","39","2","2008-09-07","Member","Ujjal","Dosanjh","Ujjal Dosanjh"
"3.8","AFGH","39","2","2008-09-07","Member","Laurie","Hawn","Laurie Hawn"
"3.9","AFGH","39","2","2008-09-07","Member","Gerald","Keddy","Gerald Keddy"
"3.10","AFGH","39","2","2008-09-07","Member","Dave","MacKenzie","Dave MacKenzie"
"3.11","AFGH","39","2","2008-09-07","Member","Deepak","Obhrai","Deepak Obhrai"
"3.12","AFGH","39","2","2008-09-07","Member","Bernard","Patry","Bernard Patry"
"3.13","AFGH","39","2","2008-09-07","Member","Bob","Rae","Bob Rae"
"4.1","AFGH","40","2","2009-02-10","Member","Jim","Abbott","Jim Abbott"
"4.2","AFGH","40","2","2009-02-10","Member","Claude","Bachand","Claude Bachand"
"4.3","AFGH","40","2","2009-02-10","Member","Maxime","Bernier","Maxime Bernier"
"4.4","AFGH","40","2","2009-02-10","Member","Denis","Coderre","Denis Coderre"
"4.5","AFGH","40","2","2009-02-10","Member","Paul","Crête","Paul Crête"
"4.6","AFGH","40","2","2009-02-10","Member","Paul","Dewar","Paul Dewar"
"4.7","AFGH","40","2","2009-02-10","Member","Laurie","Hawn","Laurie Hawn"
"4.8","AFGH","40","2","2009-02-10","Member","Greg","Kerr","Greg Kerr"
"4.9","AFGH","40","2","2009-02-10","Member","Dave","MacKenzie","Dave MacKenzie"
"4.10","AFGH","40","2","2009-02-10","Member","Deepak","Obhrai","Deepak Obhrai"
"4.11","AFGH","40","2","2009-02-10","Member","Bob","Rae","Bob Rae"
"4.12","AFGH","40","2","2009-02-10","Member","Bryon","Wilfert","Bryon Wilfert"
"5.1","AFGH","40","2","2009-03-06","Member","Jim","Abbott","Jim Abbott"
"5.2","AFGH","40","2","2009-03-06","Member","Claude","Bachand","Claude Bachand"
"5.3","AFGH","40","2","2009-03-06","Member","Maxime","Bernier","Maxime Bernier"
"5.4","AFGH","40","2","2009-03-06","Member","Rick","Casson","Rick Casson"
"5.5","AFGH","40","2","2009-03-06","Member","Denis","Coderre","Denis Coderre"
"5.6","AFGH","40","2","2009-03-06","Member","Paul","Crête","Paul Crête"
"5.7","AFGH","40","2","2009-03-06","Member","Paul","Dewar","Paul Dewar"
"5.8","AFGH","40","2","2009-03-06","Member","Laurie","Hawn","Laurie Hawn"
"5.9","AFGH","40","2","2009-03-06","Member","Greg","Kerr","Greg Kerr"
"5.10","AFGH","40","2","2009-03-06","Member","Dave","MacKenzie","Dave MacKenzie"
"5.11","AFGH","40","2","2009-03-06","Member","Deepak","Obhrai","Deepak Obhrai"
"5.12","AFGH","40","2","2009-03-06","Member","Bob","Rae","Bob Rae"
"5.13","AFGH","40","2","2009-03-06","Member","Bryon","Wilfert","Bryon Wilfert"
"6.1","AFGH","40","2","2009-03-11","Chair","Rick","Casson","Rick Casson"
"6.2","AFGH","40","2","2009-03-11","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"6.3","AFGH","40","2","2009-03-11","Member","Jim","Abbott","Jim Abbott"
"6.4","AFGH","40","2","2009-03-11","Member","Claude","Bachand","Claude Bachand"
"6.5","AFGH","40","2","2009-03-11","Member","Maxime","Bernier","Maxime Bernier"
"6.6","AFGH","40","2","2009-03-11","Member","Denis","Coderre","Denis Coderre"
"6.7","AFGH","40","2","2009-03-11","Member","Paul","Crête","Paul Crête"
"6.8","AFGH","40","2","2009-03-11","Member","Paul","Dewar","Paul Dewar"
"6.9","AFGH","40","2","2009-03-11","Member","Laurie","Hawn","Laurie Hawn"
"6.10","AFGH","40","2","2009-03-11","Member","Greg","Kerr","Greg Kerr"
"6.11","AFGH","40","2","2009-03-11","Member","Dave","MacKenzie","Dave MacKenzie"
"6.12","AFGH","40","2","2009-03-11","Member","Deepak","Obhrai","Deepak Obhrai"
"6.13","AFGH","40","2","2009-03-11","Member","Bob","Rae","Bob Rae"
"7.1","AFGH","40","2","2009-05-28","Chair","Rick","Casson","Rick Casson"
"7.2","AFGH","40","2","2009-05-28","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"7.3","AFGH","40","2","2009-05-28","Member","Jim","Abbott","Jim Abbott"
"7.4","AFGH","40","2","2009-05-28","Member","Claude","Bachand","Claude Bachand"
"7.5","AFGH","40","2","2009-05-28","Member","Maxime","Bernier","Maxime Bernier"
"7.6","AFGH","40","2","2009-05-28","Member","Denis","Coderre","Denis Coderre"
"7.7","AFGH","40","2","2009-05-28","Member","Paul","Crête","Paul Crête"
"7.8","AFGH","40","2","2009-05-28","Member","Paul","Dewar","Paul Dewar"
"7.9","AFGH","40","2","2009-05-28","Member","Laurie","Hawn","Laurie Hawn"
"7.10","AFGH","40","2","2009-05-28","Member","Greg","Kerr","Greg Kerr"
"7.11","AFGH","40","2","2009-05-28","Member","Francine","Lalonde","Francine Lalonde"
"7.12","AFGH","40","2","2009-05-28","Member","Dave","MacKenzie","Dave MacKenzie"
"7.13","AFGH","40","2","2009-05-28","Member","Deepak","Obhrai","Deepak Obhrai"
"7.14","AFGH","40","2","2009-05-28","Member","Bob","Rae","Bob Rae"
"8.1","AFGH","40","2","2009-10-07","Chair","Rick","Casson","Rick Casson"
"8.2","AFGH","40","2","2009-10-07","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"8.3","AFGH","40","2","2009-10-07","Member","Jim","Abbott","Jim Abbott"
"8.4","AFGH","40","2","2009-10-07","Member","Claude","Bachand","Claude Bachand"
"8.5","AFGH","40","2","2009-10-07","Member","Maxime","Bernier","Maxime Bernier"
"8.6","AFGH","40","2","2009-10-07","Member","Denis","Coderre","Denis Coderre"
"8.7","AFGH","40","2","2009-10-07","Member","Paul","Crête","Paul Crête"
"8.8","AFGH","40","2","2009-10-07","Member","Paul","Dewar","Paul Dewar"
"8.9","AFGH","40","2","2009-10-07","Member","Ujjal","Dosanjh","Ujjal Dosanjh"
"8.10","AFGH","40","2","2009-10-07","Member","Laurie","Hawn","Laurie Hawn"
"8.11","AFGH","40","2","2009-10-07","Member","Greg","Kerr","Greg Kerr"
"8.12","AFGH","40","2","2009-10-07","Member","Francine","Lalonde","Francine Lalonde"
"8.13","AFGH","40","2","2009-10-07","Member","Dave","MacKenzie","Dave MacKenzie"
"8.14","AFGH","40","2","2009-10-07","Member","Deepak","Obhrai","Deepak Obhrai"
"8.15","AFGH","40","2","2009-10-07","Member","Bob","Rae","Bob Rae"
"9.1","AFGH","40","2","2009-12-30","Chair","Rick","Casson","Rick Casson"
"9.2","AFGH","40","2","2009-12-30","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"9.3","AFGH","40","2","2009-12-30","Member","Jim","Abbott","Jim Abbott"
"9.4","AFGH","40","2","2009-12-30","Member","Claude","Bachand","Claude Bachand"
"9.5","AFGH","40","2","2009-12-30","Member","Maxime","Bernier","Maxime Bernier"
"9.6","AFGH","40","2","2009-12-30","Member","Denis","Coderre","Denis Coderre"
"9.7","AFGH","40","2","2009-12-30","Member","Paul","Crête","Paul Crête"
"9.8","AFGH","40","2","2009-12-30","Member","Paul","Dewar","Paul Dewar"
"9.9","AFGH","40","2","2009-12-30","Member","Ujjal","Dosanjh","Ujjal Dosanjh"
"9.10","AFGH","40","2","2009-12-30","Member","Laurie","Hawn","Laurie Hawn"
"9.11","AFGH","40","2","2009-12-30","Member","Greg","Kerr","Greg Kerr"
"9.12","AFGH","40","2","2009-12-30","Member","Francine","Lalonde","Francine Lalonde"
"9.13","AFGH","40","2","2009-12-30","Member","Dave","MacKenzie","Dave MacKenzie"
"9.14","AFGH","40","2","2009-12-30","Member","Deepak","Obhrai","Deepak Obhrai"
"9.15","AFGH","40","2","2009-12-30","Member","Bob","Rae","Bob Rae"
"10.1","AFGH","40","3","2010-03-03","Member","Jim","Abbott","Jim Abbott"
"10.2","AFGH","40","3","2010-03-03","Member","Claude","Bachand","Claude Bachand"
"10.3","AFGH","40","3","2010-03-03","Member","Paul","Dewar","Paul Dewar"
"10.4","AFGH","40","3","2010-03-03","Member","Ujjal","Dosanjh","Ujjal Dosanjh"
"10.5","AFGH","40","3","2010-03-03","Member","Laurie","Hawn","Laurie Hawn"
"10.6","AFGH","40","3","2010-03-03","Member","Greg","Kerr","Greg Kerr"
"10.7","AFGH","40","3","2010-03-03","Member","Francine","Lalonde","Francine Lalonde"
"10.8","AFGH","40","3","2010-03-03","Member","Dave","MacKenzie","Dave MacKenzie"
"10.9","AFGH","40","3","2010-03-03","Member","Deepak","Obhrai","Deepak Obhrai"
"10.10","AFGH","40","3","2010-03-03","Member","Bob","Rae","Bob Rae"
"10.11","AFGH","40","3","2010-03-03","Member","Kevin","Sorenson","Kevin Sorenson"
"10.12","AFGH","40","3","2010-03-03","Member","Bryon","Wilfert","Bryon Wilfert"
"11.1","AFGH","40","3","2010-03-04","Member","Jim","Abbott","Jim Abbott"
"11.2","AFGH","40","3","2010-03-04","Member","Claude","Bachand","Claude Bachand"
"11.3","AFGH","40","3","2010-03-04","Member","Ujjal","Dosanjh","Ujjal Dosanjh"
"11.4","AFGH","40","3","2010-03-04","Member","Jack","Harris","Jack Harris"
"11.5","AFGH","40","3","2010-03-04","Member","Laurie","Hawn","Laurie Hawn"
"11.6","AFGH","40","3","2010-03-04","Member","Greg","Kerr","Greg Kerr"
"11.7","AFGH","40","3","2010-03-04","Member","Francine","Lalonde","Francine Lalonde"
"11.8","AFGH","40","3","2010-03-04","Member","Dave","MacKenzie","Dave MacKenzie"
"11.9","AFGH","40","3","2010-03-04","Member","Deepak","Obhrai","Deepak Obhrai"
"11.10","AFGH","40","3","2010-03-04","Member","Bob","Rae","Bob Rae"
"11.11","AFGH","40","3","2010-03-04","Member","Kevin","Sorenson","Kevin Sorenson"
"11.12","AFGH","40","3","2010-03-04","Member","Bryon","Wilfert","Bryon Wilfert"
"12.1","AFGH","40","3","2010-03-11","Chair","Kevin","Sorenson","Kevin Sorenson"
"12.2","AFGH","40","3","2010-03-11","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"12.3","AFGH","40","3","2010-03-11","Member","Jim","Abbott","Jim Abbott"
"12.4","AFGH","40","3","2010-03-11","Member","Claude","Bachand","Claude Bachand"
"12.5","AFGH","40","3","2010-03-11","Member","Ujjal","Dosanjh","Ujjal Dosanjh"
"12.6","AFGH","40","3","2010-03-11","Member","Jack","Harris","Jack Harris"
"12.7","AFGH","40","3","2010-03-11","Member","Laurie","Hawn","Laurie Hawn"
"12.8","AFGH","40","3","2010-03-11","Member","Greg","Kerr","Greg Kerr"
"12.9","AFGH","40","3","2010-03-11","Member","Francine","Lalonde","Francine Lalonde"
"12.10","AFGH","40","3","2010-03-11","Member","Dave","MacKenzie","Dave MacKenzie"
"12.11","AFGH","40","3","2010-03-11","Member","Deepak","Obhrai","Deepak Obhrai"
"12.12","AFGH","40","3","2010-03-11","Member","Bob","Rae","Bob Rae"
"13.1","AFGH","40","3","2010-03-22","Chair","Kevin","Sorenson","Kevin Sorenson"
"13.2","AFGH","40","3","2010-03-22","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"13.3","AFGH","40","3","2010-03-22","Member","Jim","Abbott","Jim Abbott"
"13.4","AFGH","40","3","2010-03-22","Member","Claude","Bachand","Claude Bachand"
"13.5","AFGH","40","3","2010-03-22","Member","Bob","Dechert","Bob Dechert"
"13.6","AFGH","40","3","2010-03-22","Member","Ujjal","Dosanjh","Ujjal Dosanjh"
"13.7","AFGH","40","3","2010-03-22","Member","Jack","Harris","Jack Harris"
"13.8","AFGH","40","3","2010-03-22","Member","Laurie","Hawn","Laurie Hawn"
"13.9","AFGH","40","3","2010-03-22","Member","Francine","Lalonde","Francine Lalonde"
"13.10","AFGH","40","3","2010-03-22","Member","Dave","MacKenzie","Dave MacKenzie"
"13.11","AFGH","40","3","2010-03-22","Member","Deepak","Obhrai","Deepak Obhrai"
"13.12","AFGH","40","3","2010-03-22","Member","Bob","Rae","Bob Rae"
"14.1","AFGH","40","3","2010-09-30","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"14.2","AFGH","40","3","2010-09-30","Member","Jim","Abbott","Jim Abbott"
"14.3","AFGH","40","3","2010-09-30","Member","Claude","Bachand","Claude Bachand"
"14.4","AFGH","40","3","2010-09-30","Member","Garry","Breitkreuz","Garry Breitkreuz"
"14.5","AFGH","40","3","2010-09-30","Member","Bob","Dechert","Bob Dechert"
"14.6","AFGH","40","3","2010-09-30","Member","Stéphane","Dion","Stéphane Dion"
"14.7","AFGH","40","3","2010-09-30","Member","Jean","Dorion","Jean Dorion"
"14.8","AFGH","40","3","2010-09-30","Member","Jack","Harris","Jack Harris"
"14.9","AFGH","40","3","2010-09-30","Member","Laurie","Hawn","Laurie Hawn"
"14.10","AFGH","40","3","2010-09-30","Member","Dave","MacKenzie","Dave MacKenzie"
"14.11","AFGH","40","3","2010-09-30","Member","Deepak","Obhrai","Deepak Obhrai"
"14.12","AFGH","40","3","2010-09-30","Member","Bob","Rae","Bob Rae"
"15.1","AFGH","40","3","2010-10-06","Chair","Garry","Breitkreuz","Garry Breitkreuz"
"15.2","AFGH","40","3","2010-10-06","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"15.3","AFGH","40","3","2010-10-06","Member","Jim","Abbott","Jim Abbott"
"15.4","AFGH","40","3","2010-10-06","Member","Claude","Bachand","Claude Bachand"
"15.5","AFGH","40","3","2010-10-06","Member","Bob","Dechert","Bob Dechert"
"15.6","AFGH","40","3","2010-10-06","Member","Stéphane","Dion","Stéphane Dion"
"15.7","AFGH","40","3","2010-10-06","Member","Jean","Dorion","Jean Dorion"
"15.8","AFGH","40","3","2010-10-06","Member","Jack","Harris","Jack Harris"
"15.9","AFGH","40","3","2010-10-06","Member","Laurie","Hawn","Laurie Hawn"
"15.10","AFGH","40","3","2010-10-06","Member","Greg","Kerr","Greg Kerr"
"15.11","AFGH","40","3","2010-10-06","Member","Deepak","Obhrai","Deepak Obhrai"
"15.12","AFGH","40","3","2010-10-06","Member","Bob","Rae","Bob Rae"
"16.1","AFGH","40","3","2011-02-03","Chair","Garry","Breitkreuz","Garry Breitkreuz"
"16.2","AFGH","40","3","2011-02-03","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"16.3","AFGH","40","3","2011-02-03","Member","Jim","Abbott","Jim Abbott"
"16.4","AFGH","40","3","2011-02-03","Member","Claude","Bachand","Claude Bachand"
"16.5","AFGH","40","3","2011-02-03","Member","Lois","Brown","Lois Brown"
"16.6","AFGH","40","3","2011-02-03","Member","Bob","Dechert","Bob Dechert"
"16.7","AFGH","40","3","2011-02-03","Member","Stéphane","Dion","Stéphane Dion"
"16.8","AFGH","40","3","2011-02-03","Member","Jean","Dorion","Jean Dorion"
"16.9","AFGH","40","3","2011-02-03","Member","Jack","Harris","Jack Harris"
"16.10","AFGH","40","3","2011-02-03","Member","Laurie","Hawn","Laurie Hawn"
"16.11","AFGH","40","3","2011-02-03","Member","Deepak","Obhrai","Deepak Obhrai"
"16.12","AFGH","40","3","2011-02-03","Member","Bob","Rae","Bob Rae"
"17.1","AFGH","40","3","2011-02-09","Chair","Garry","Breitkreuz","Garry Breitkreuz"
"17.2","AFGH","40","3","2011-02-09","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"17.3","AFGH","40","3","2011-02-09","Member","Claude","Bachand","Claude Bachand"
"17.4","AFGH","40","3","2011-02-09","Member","Lois","Brown","Lois Brown"
"17.5","AFGH","40","3","2011-02-09","Member","Bob","Dechert","Bob Dechert"
"17.6","AFGH","40","3","2011-02-09","Member","Stéphane","Dion","Stéphane Dion"
"17.7","AFGH","40","3","2011-02-09","Member","Jean","Dorion","Jean Dorion"
"17.8","AFGH","40","3","2011-02-09","Member","Jack","Harris","Jack Harris"
"17.9","AFGH","40","3","2011-02-09","Member","Laurie","Hawn","Laurie Hawn"
"17.10","AFGH","40","3","2011-02-09","Member","Dave","MacKenzie","Dave MacKenzie"
"17.11","AFGH","40","3","2011-02-09","Member","Deepak","Obhrai","Deepak Obhrai"
"17.12","AFGH","40","3","2011-02-09","Member","Bob","Rae","Bob Rae"
"18.1","AFGH","40","3","2011-03-26","Chair","Garry","Breitkreuz","Garry Breitkreuz"
"18.2","AFGH","40","3","2011-03-26","Co-chair","Bryon","Wilfert","Bryon Wilfert"
"18.3","AFGH","40","3","2011-03-26","Member","Claude","Bachand","Claude Bachand"
"18.4","AFGH","40","3","2011-03-26","Member","Lois","Brown","Lois Brown"
"18.5","AFGH","40","3","2011-03-26","Member","Bob","Dechert","Bob Dechert"
"18.6","AFGH","40","3","2011-03-26","Member","Stéphane","Dion","Stéphane Dion"
"18.7","AFGH","40","3","2011-03-26","Member","Jean","Dorion","Jean Dorion"
"18.8","AFGH","40","3","2011-03-26","Member","Jack","Harris","Jack Harris"
"18.9","AFGH","40","3","2011-03-26","Member","Laurie","Hawn","Laurie Hawn"
"18.10","AFGH","40","3","2011-03-26","Member","Dave","MacKenzie","Dave MacKenzie"
"18.11","AFGH","40","3","2011-03-26","Member","Deepak","Obhrai","Deepak Obhrai"
"18.12","AFGH","40","3","2011-03-26","Member","Bob","Rae","Bob Rae"
"19.1","CC11","41","1","2011-10-26","Member","Charlie","Angus","Charlie Angus"
"19.2","CC11","41","1","2011-10-26","Member","Scott","Armstrong","Scott Armstrong"
"19.3","CC11","41","1","2011-10-26","Member","Tyrone","Benskin","Tyrone Benskin"
"19.4","CC11","41","1","2011-10-26","Member","Peter","Braid","Peter Braid"
"19.5","CC11","41","1","2011-10-26","Member","Paul","Calandra","Paul Calandra"
"19.6","CC11","41","1","2011-10-26","Member","Andrew","Cash","Andrew Cash"
"19.7","CC11","41","1","2011-10-26","Member","Dean","Del Mastro","Dean Del Mastro"
"19.8","CC11","41","1","2011-10-26","Member","Mike","Lake","Mike Lake"
"19.9","CC11","41","1","2011-10-26","Member","Phil","McColeman","Phil McColeman"
"19.10","CC11","41","1","2011-10-26","Member","Rob","Moore","Rob Moore"
"19.11","CC11","41","1","2011-10-26","Member","Pierre","Nantel","Pierre Nantel"
"19.12","CC11","41","1","2011-10-26","Member","Geoff","Regan","Geoff Regan"
"20.1","CC11","41","1","2011-10-27","Chair","Glenn","Thibeault","Glenn Thibeault"
"20.2","CC11","41","1","2011-10-27","Member","Charlie","Angus","Charlie Angus"
"20.3","CC11","41","1","2011-10-27","Member","Scott","Armstrong","Scott Armstrong"
"20.4","CC11","41","1","2011-10-27","Member","Tyrone","Benskin","Tyrone Benskin"
"20.5","CC11","41","1","2011-10-27","Member","Peter","Braid","Peter Braid"
"20.6","CC11","41","1","2011-10-27","Member","Paul","Calandra","Paul Calandra"
"20.7","CC11","41","1","2011-10-27","Member","Andrew","Cash","Andrew Cash"
"20.8","CC11","41","1","2011-10-27","Member","Dean","Del Mastro","Dean Del Mastro"
"20.9","CC11","41","1","2011-10-27","Member","Mike","Lake","Mike Lake"
"20.10","CC11","41","1","2011-10-27","Member","Phil","McColeman","Phil McColeman"
"20.11","CC11","41","1","2011-10-27","Member","Rob","Moore","Rob Moore"
"20.12","CC11","41","1","2011-10-27","Member","Pierre","Nantel","Pierre Nantel"
"20.13","CC11","41","1","2011-10-27","Member","Geoff","Regan","Geoff Regan"
"21.1","CC11","41","1","2012-02-10","Chair","Glenn","Thibeault","Glenn Thibeault"
"21.2","CC11","41","1","2012-02-10","Member","Charlie","Angus","Charlie Angus"
"21.3","CC11","41","1","2012-02-10","Member","Scott","Armstrong","Scott Armstrong"
"21.4","CC11","41","1","2012-02-10","Member","Tyrone","Benskin","Tyrone Benskin"
"21.5","CC11","41","1","2012-02-10","Member","Peter","Braid","Peter Braid"
"21.6","CC11","41","1","2012-02-10","Member","Paul","Calandra","Paul Calandra"
"21.7","CC11","41","1","2012-02-10","Member","Dean","Del Mastro","Dean Del Mastro"
"21.8","CC11","41","1","2012-02-10","Member","Pierre","Dionne Labelle","Pierre Dionne Labelle"
"21.9","CC11","41","1","2012-02-10","Member","Mike","Lake","Mike Lake"
"21.10","CC11","41","1","2012-02-10","Member","Phil","McColeman","Phil McColeman"
"21.11","CC11","41","1","2012-02-10","Member","Rob","Moore","Rob Moore"
"21.12","CC11","41","1","2012-02-10","Member","Pierre","Nantel","Pierre Nantel"
"21.13","CC11","41","1","2012-02-10","Member","Geoff","Regan","Geoff Regan"
"22.1","CC11","41","1","2012-02-14","Chair","Glenn","Thibeault","Glenn Thibeault"
"22.2","CC11","41","1","2012-02-14","Member","Charlie","Angus","Charlie Angus"
"22.3","CC11","41","1","2012-02-14","Member","Scott","Armstrong","Scott Armstrong"
"22.4","CC11","41","1","2012-02-14","Member","Tyrone","Benskin","Tyrone Benskin"
"22.5","CC11","41","1","2012-02-14","Member","Peter","Braid","Peter Braid"
"22.6","CC11","41","1","2012-02-14","Member","Paul","Calandra","Paul Calandra"
"22.7","CC11","41","1","2012-02-14","Member","Andrew","Cash","Andrew Cash"
"22.8","CC11","41","1","2012-02-14","Member","Dean","Del Mastro","Dean Del Mastro"
"22.9","CC11","41","1","2012-02-14","Member","Pierre","Dionne Labelle","Pierre Dionne Labelle"
"22.10","CC11","41","1","2012-02-14","Member","Mike","Lake","Mike Lake"
"22.11","CC11","41","1","2012-02-14","Member","Phil","McColeman","Phil McColeman"
"22.12","CC11","41","1","2012-02-14","Member","Rob","Moore","Rob Moore"
"22.13","CC11","41","1","2012-02-14","Member","Pierre","Nantel","Pierre Nantel"
"22.14","CC11","41","1","2012-02-14","Member","Geoff","Regan","Geoff Regan"
"23.1","CC11","41","1","2012-02-16","Chair","Glenn","Thibeault","Glenn Thibeault"
"23.2","CC11","41","1","2012-02-16","Member","Charlie","Angus","Charlie Angus"
"23.3","CC11","41","1","2012-02-16","Member","Scott","Armstrong","Scott Armstrong"
"23.4","CC11","41","1","2012-02-16","Member","Tyrone","Benskin","Tyrone Benskin"
"23.5","CC11","41","1","2012-02-16","Member","Peter","Braid","Peter Braid"
"23.6","CC11","41","1","2012-02-16","Member","Paul","Calandra","Paul Calandra"
"23.7","CC11","41","1","2012-02-16","Member","Dean","Del Mastro","Dean Del Mastro"
"23.8","CC11","41","1","2012-02-16","Member","Pierre","Dionne Labelle","Pierre Dionne Labelle"
"23.9","CC11","41","1","2012-02-16","Member","Mike","Lake","Mike Lake"
"23.10","CC11","41","1","2012-02-16","Member","Phil","McColeman","Phil McColeman"
"23.11","CC11","41","1","2012-02-16","Member","Rob","Moore","Rob Moore"
"23.12","CC11","41","1","2012-02-16","Member","Pierre","Nantel","Pierre Nantel"
"23.13","CC11","41","1","2012-02-16","Member","Scott","Simms","Scott Simms"
"24.1","CC11","41","1","2012-02-27","Chair","Glenn","Thibeault","Glenn Thibeault"
"24.2","CC11","41","1","2012-02-27","Member","Charlie","Angus","Charlie Angus"
"24.3","CC11","41","1","2012-02-27","Member","Scott","Armstrong","Scott Armstrong"
"24.4","CC11","41","1","2012-02-27","Member","Tyrone","Benskin","Tyrone Benskin"
"24.5","CC11","41","1","2012-02-27","Member","Peter","Braid","Peter Braid"
"24.6","CC11","41","1","2012-02-27","Member","Paul","Calandra","Paul Calandra"
"24.7","CC11","41","1","2012-02-27","Member","Andrew","Cash","Andrew Cash"
"24.8","CC11","41","1","2012-02-27","Member","Dean","Del Mastro","Dean Del Mastro"
"24.9","CC11","41","1","2012-02-27","Member","Pierre","Dionne Labelle","Pierre Dionne Labelle"
"24.10","CC11","41","1","2012-02-27","Member","Mike","Lake","Mike Lake"
"24.11","CC11","41","1","2012-02-27","Member","Phil","McColeman","Phil McColeman"
"24.12","CC11","41","1","2012-02-27","Member","Rob","Moore","Rob Moore"
"24.13","CC11","41","1","2012-02-27","Member","Pierre","Nantel","Pierre Nantel"
"24.14","CC11","41","1","2012-02-27","Member","Geoff","Regan","Geoff Regan"
"24.15","CC11","41","1","2012-02-27","Member","Scott","Simms","Scott Simms"
"25.1","CC11","41","1","2012-02-28","Chair","Glenn","Thibeault","Glenn Thibeault"
"25.2","CC11","41","1","2012-02-28","Member","Charlie","Angus","Charlie Angus"
"25.3","CC11","41","1","2012-02-28","Member","Scott","Armstrong","Scott Armstrong"
"25.4","CC11","41","1","2012-02-28","Member","Tyrone","Benskin","Tyrone Benskin"
"25.5","CC11","41","1","2012-02-28","Member","Peter","Braid","Peter Braid"
"25.6","CC11","41","1","2012-02-28","Member","Paul","Calandra","Paul Calandra"
"25.7","CC11","41","1","2012-02-28","Member","Pierre","Dionne Labelle","Pierre Dionne Labelle"
"25.8","CC11","41","1","2012-02-28","Member","Mike","Lake","Mike Lake"
"25.9","CC11","41","1","2012-02-28","Member","Phil","McColeman","Phil McColeman"
"25.10","CC11","41","1","2012-02-28","Member","Rob","Moore","Rob Moore"
"25.11","CC11","41","1","2012-02-28","Member","Pierre","Nantel","Pierre Nantel"
"25.12","CC11","41","1","2012-02-28","Member","Geoff","Regan","Geoff Regan"
"25.13","CC11","41","1","2012-02-28","Member","David","Sweet","David Sweet"
